especie,subfamily,genus,winged_queen,queen_HeadWidth,observations,antwiki
Pheidole_transversostriata,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_transversostriata
Procryptocerus_sp.1,Myrmicinae,Procryptocerus,Unknown,NA,NA,NA
Pseudomyrmex_cubaensis,Pseudomyrmecinae,Pseudomyrmex,Yes,NA,NA,https://antwiki.org/wiki/Pseudomyrmex_cubaensis
Pseudoponera_gilberti,Ponerinae,Pseudoponera,Yes,NA,NA,https://antwiki.org/wiki/Pseudoponera_gilberti
Rhopalothrix_sp.1,Myrmicinae,Rhopalothrix,Yes,NA,NA,NA
Rhopalothrix_mariaemirae,Myrmicinae,Rhopalothrix,Yes,NA,NA,https://antwiki.org/wiki/Rhopalothrix_mariaemirae
Rogeria_belti,Myrmicinae,Rogeria,Yes,0.61,mean between 0.58 and 0.64,https://antwiki.org/wiki/Rogeria_belti
Rogeria_micromma,Myrmicinae,Rogeria,Yes,NA,same value as R belti for all species in the same genus,https://antwiki.org/wiki/Rogeria_micromma
Rogeria_subarmata,Myrmicinae,Rogeria,Yes,NA,same value as R belti for all species in the same genus,https://antwiki.org/wiki/Rogeria_subarmata
Sericomyrmex_mayri,Myrmicinae,Sericomyrmex,Yes,1.58,mean between 1.48 and 1.68,https://antwiki.org/wiki/Sericomyrmex_mayri
Sericomyrmex_saussurei,Myrmicinae,Sericomyrmex,Yes,1.309,mean between all values: HWe 1.3–1.38 HW 1.27–1.4 HW1 1.4–1.46 HW2 1.49–1.56 HW3 0.9–0.93,https://antwiki.org/wiki/Sericomyrmex_saussurei
Solenopsis_altinodis,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_brevicornis,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_richteri,Myrmicinae,Solenopsis,Yes,1.45,mean between 1.40 and 1.50,https://antwiki.org/wiki/Solenopsis_richteri
Solenopsis_sp.1,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_sp.7,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_sp.4,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_sp.5,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_sp.6,Myrmicinae,Solenopsis,Unknown,NA,NA,NA
Solenopsis_terricola,Myrmicinae,Solenopsis,Yes,0.435,mean between 0.39 and 0.48,https://antwiki.org/wiki/Solenopsis_terricola
Solenopsis_virulens,Myrmicinae,Solenopsis,Unknown,NA,NA,https://antwiki.org/wiki/Solenopsis_virulens
Strumigenys_beebei,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_beebei
Strumigenys_cincinnata,Myrmicinae,Strumigenys,Unknown,NA,NA,https://antwiki.org/wiki/Strumigenys_cincinnata
Strumigenys_crassicornis,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_crassicornis
Strumigenys_denticulata,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_denticulata
Strumigenys_elongata,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_elongata
Strumigenys_furtiva,Myrmicinae,Strumigenys,Unknown,NA,NA,https://antwiki.org/wiki/Strumigenys_furtiva
Strumigenys_glenognatha,Myrmicinae,Strumigenys,Unknown,NA,NA,https://antwiki.org/wiki/Strumigenys_glenognatha
Strumigenys_metopia,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_metopia
Strumigenys_perparva,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_perparva
Strumigenys_stenotes,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_stenotes
Strumigenys_trinidadensis,Myrmicinae,Strumigenys,Unknown,NA,NA,https://antwiki.org/wiki/Strumigenys_trinidadensis
Strumigenys_trudifera,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_trudifera
Strumigenys_villiersi,Myrmicinae,Strumigenys,Yes,NA,NA,https://antwiki.org/wiki/Strumigenys_villiersi
Strumigenys_waiwai,Myrmicinae,Strumigenys,Unknown,NA,NA,https://antwiki.org/wiki/Strumigenys_waiwai
Thaumatomyrmex_ferox,Ponerinae,Thaumatomyrmex,No,NA,NA,https://antwiki.org/wiki/Thaumatomyrmex_ferox
Typhlomyrmex_encanto,Ectatomminae,Typhlomyrmex,Yes,NA,NA,https://antwiki.org/wiki/Typhlomyrmex_encanto
Wasmannia_auropunctata,Myrmicinae,Wasmannia,Yes,0.805,mean between 0.77 and 0.84,https://antwiki.org/wiki/Wasmannia_auropunctata
Wasmannia_scrobifera,Myrmicinae,Wasmannia,Unknown,NA,NA,https://antwiki.org/wiki/Wasmannia_scrobifera
Cryptomyrmex_longinodus,Myrmicinae,Cryptomyrmex,Yes,0.51,NA,https://antwiki.org/wiki/Cryptomyrmex_longinodus
Talaridris_mandibularis,Myrmicinae,Talaridris,Yes,0.73,NA,https://antwiki.org/wiki/Talaridris_mandibularis
Octostruma_amrishi,Myrmicinae,Octostruma,Yes,0.6,NA,https://antwiki.org/wiki/Octostruma_amrishi
